Body center of mass-x,Body center of mass-y,Body center of mass-z,7th cervical vertebrae-x,7th cervical vertebrae-y,7th cervical vertebrae-z,10th thoracic vertebrae-x,10th thoracic vertebrae-y,10th thoracic vertebrae-z,Jugular notch-x,Jugular notch-y,Jugular notch-z,Anterior superior iliac spine LT-x,Anterior superior iliac spine LT-y,Anterior superior iliac spine LT-z,Anterior superior iliac spine RT-x,Anterior superior iliac spine RT-y,Anterior superior iliac spine RT-z,Posterior superior iliac spine LT-x,Posterior superior iliac spine LT-y,Posterior superior iliac spine LT-z,Posterior superior iliac spine RT-x,Posterior superior iliac spine RT-y,Posterior superior iliac spine RT-z,Acromion LT-x,Acromion LT-y,Acromion LT-z,Acromion RT-x,Acromion RT-y,Acromion RT-z,Shoulder LT-x,Shoulder LT-y,Shoulder LT-z,Shoulder RT-x,Shoulder RT-y,Shoulder RT-z,Medial humeral epicondyle LT-x,Medial humeral epicondyle LT-y,Medial humeral epicondyle LT-z,Lateral humeral epicondyle LT-x,Lateral humeral epicondyle LT-y,Lateral humeral epicondyle LT-z,Elbow LT-x,Elbow LT-y,Elbow LT-z,Radial styloid process LT-x,Radial styloid process LT-y,Radial styloid process LT-z,Ulnar styloid process LT-x,Ulnar styloid process LT-y,Ulnar styloid process LT-z,Hand tip LT-x,Hand tip LT-y,Hand tip LT-z,Hip LT-x,Hip LT-y,Hip LT-z,Hip RT-x,Hip RT-y,Hip RT-z
-15.63584065,9.846099414,961.4660524,42.24378351,-20.29538948,1488.544128,84.96363919,-38.09940025,1210.577004,-38.77337864,29.46074768,1436.470734,-115.2308131,-107.3155045,967.7132491,2.863444184,156.7041611,966.0631696,57.21299092,-84.15550886,963.9779207,100.5294173,12.68568122,963.3726792,-82.00161555,-153.8531986,1439.290569,105.769337,150.2353592,1437.708231,-91.05976748,-151.3129399,1413.140429,99.31911496,156.99907,1411.536114,-171.9853539,-139.7870774,1100.48966,-198.5862252,-136.7204876,1140.738119,-187.7008302,-140.504653,1118.39609,-260.1043697,64.27891758,1036.688442,-278.2916958,50.00674713,1012.781965,-317.0694069,207.7784697,980.9250115,-51.19243221,-72.91415081,876.5225732,19.48173718,85.08989617,875.5350739
-15.58928886,9.868751802,961.4463078,42.16782114,-20.35446026,1488.545804,84.84096338,-38.317625,1210.58705,-38.74769059,29.56985353,1436.475323,-115.4865603,-107.0248487,967.6893768,3.264743782,156.7001425,966.0716637,57.01494904,-84.29395264,963.9827264,100.5723772,12.43915223,963.3893568,-82.42978366,-153.6343585,1439.429348,106.0949925,149.9858916,1437.575206,-91.49272625,-151.0881139,1413.28145,99.6504496,156.7490841,1411.401556,-172.1198934,-139.990079,1100.575167,-198.9635544,-136.8406093,1140.65568,-187.9418318,-140.6735992,1118.388937,-259.8820703,63.88605843,1035.596193,-278.0727024,49.46601133,1011.781146,-317.0324542,207.0234267,979.0964182,-51.34820407,-72.77835455,876.5106752,19.71917866,85.04934287,875.5425457
-15.54731988,9.891794082,961.4278087,42.11291073,-20.41939518,1488.546038,84.73087971,-38.52971638,1210.592274,-38.70937477,29.66039137,1436.480067,-115.7324263,-106.7453331,967.6683432,3.64421802,156.6973878,966.0841148,56.82292007,-84.42335193,963.9825321,100.6097201,12.2062175,963.4014444,-82.81308003,-153.4406598,1439.562769,106.411405,149.7422855,1437.445875,-91.88129979,-150.8891774,1413.417211,99.97130313,156.5046422,1411.270915,-172.2116936,-140.2024196,1100.651748,-199.2882049,-136.9753408,1140.569129,-188.13564,-140.8541399,1118.375589,-259.642076,63.48669407,1034.571333,-277.8102344,48.93519201,1010.819173,-316.9323985,206.2948658,977.3844274,-51.50292135,-72.64404721,876.4993807,19.93869976,85.01472398,875.5512904
-15.51026133,9.915526483,961.4105298,42.08055314,-20.48937951,1488.544888,84.6346717,-38.73474976,1210.592373,-38.65632855,29.73382012,1436.484555,-115.9680533,-106.4781294,967.6511106,4.000239531,156.6958875,966.1000595,56.63721496,-84.5435053,963.9772497,100.6410289,11.98750474,963.4083313,-83.15094601,-153.2705145,1439.690385,106.721811,149.504988,1437.320446,-92.22477169,-150.7144996,1413.547215,100.285107,156.2662182,1411.14436,-172.259806,-140.415745,1100.72046,-199.5591763,-137.1141309,1140.479642,-188.2814723,-141.036607,1118.357129,-259.3654155,63.09976246,1033.612693,-277.4882553,48.43096248,1009.898093,-316.7563388,205.6079054,975.7818348,-51.65694748,-72.51208475,876.4891876,20.13874898,84.985879,875.5609524
-15.47742103,9.939948208,961.3944189,42.06902074,-20.56357945,1488.542336,84.55145471,-38.93219598,1210.587862,-38.59015833,29.79174748,1436.489191,-116.1929523,-106.2237306,967.6373642,4.332945855,156.6955777,966.1190119,56.45845314,-84.65459221,963.9674759,100.6667942,11.78299191,963.4105513,-83.4466476,-153.1221229,1439.812775,107.0258262,149.2744516,1437.19862,-92.52651553,-150.5621957,1413.672086,100.5914093,156.0343312,1411.021623,-172.265483,-140.6262614,1100.782038,-199.778151,-137.252173,1140.387813,-188.3808515,-141.2166232,1118.334181,-259.0411682,62.73456812,1032.713223,-277.1035412,47.95928861,1009.018601,-316.5105073,204.9649952,974.2796901,-51.80926896,-72.38307951,876.4800366,20.32012953,84.96245246,875.5713701
-15.4487246,9.964722833,961.3794716,42.07801174,-20.6401306,1488.538282,84.4810223,-39.1208803,1210.579077,-38.51120999,29.83664041,1436.494405,-116.4067474,-105.9829854,967.6275244,4.642023509,156.6961773,966.1399995,56.2870943,-84.75694357,963.9538611,100.6872226,11.59255627,963.4082439,-83.70162112,-152.9929423,1439.93028,107.3239387,149.0524154,1437.080246,-92.78809321,-150.4296248,1413.792218,100.8905994,155.8108074,1410.9026,-172.2326768,-140.8273451,1100.83825,-199.9482332,-137.3823311,1140.296185,-188.4373256,-141.3874064,1118.308998,-258.6717887,62.39656839,1031.863652,-276.6695133,47.5217473,1008.182121,-316.224087,204.362839,972.8720586,-51.95935985,-72.2582014,876.4722727,20.48295477,84.94361412,875.5820551
-15.42361042,9.989639161,961.3655599,42.10179502,-20.71594311,1488.533302,84.42123187,-39.2992993,1210.567397,-38.42467761,29.87151804,1436.499774,-116.6076383,-105.7573292,967.620502,4.927155532,156.6974812,966.1622356,56.12494681,-84.85052562,963.937674,100.7033461,11.41668285,963.4027886,-83.92235746,-152.8797623,1440.044556,107.6118809,148.8410218,1436.964078,-93.01585525,-150.313844,1413.909192,101.1785809,155.5975065,1410.785929,-172.1736989,-141.0148132,1100.891599,-200.0795974,-137.5009779,1140.209059,-188.4621473,-141.5452501,1118.285174,-258.278411,62.08487043,1031.057688,-276.2190261,47.11276782,1007.394134,-315.9450852,203.7895146,971.5510022,-52.10434847,-72.13878546,876.4655469,20.62882928,84.9287652,875.5928392
-15.40246489,10.01439996,961.3526396,42.14039739,-20.79058342,1488.527328,84.37235507,-39.46669445,1210.552874,-38.32966216,29.89854599,1436.505469,-116.7948781,-105.5479034,967.6165171,5.18710788,156.6995125,966.1853913,55.97272618,-84.93510219,963.9190954,100.7151535,11.25603491,963.3941651,-84.11196978,-152.7795528,1440.156134,107.893254,148.6393358,1436.849625,-93.21295398,-150.2116544,1414.023571,101.4590091,155.3936076,1410.671138,-172.0942783,-141.1894373,1100.941961,-200.1739569,-137.6092859,1140.129497,-188.459084,-141.6914778,1118.26456,-257.8878794,61.78756449,1030.286057,-275.7897227,46.71569203,1006.6565,-315.725884,203.2214231,970.3033432,-52.24370243,-72.02561419,876.4600113,20.75710001,84.91782003,875.603546
-15.38532345,10.03863024,961.3406781,42.18970104,-20.86467956,1488.520562,84.3328534,-39.62292953,1210.536287,-38.22879717,29.91934443,1436.511523,-116.9682507,-105.3547049,967.6149394,5.422874048,156.7021517,966.2090002,55.83085967,-85.011109,963.8988702,100.7233572,11.11013184,963.3831782,-84.27673273,-152.6899492,1440.262299,108.1678268,148.4461817,1436.739873,-93.38534984,-150.120188,1414.132578,101.7320508,155.1983892,1410.56123,-172.0074584,-141.3456748,1100.988413,-200.2401598,-137.7022696,1140.060002,-188.4391472,-141.8211628,1118.248334,-257.5371352,61.49845978,1029.542686,-275.4258527,46.32112239,1005.970764,-315.6128263,202.6447243,969.1138588,-52.3763139,-71.91911228,876.4554661,20.8693399,84.91028067,875.6140739
-15.3716526,10.06230075,961.3297089,42.24739425,-20.9366162,1488.512989,84.30129247,-39.76753055,1210.518352,-38.12390867,29.93693177,1436.51849,-117.1274377,-105.1779324,967.6152914,5.635246577,156.7051926,966.2324245,55.69983931,-85.07899728,963.8778159,100.7286231,10.97851964,963.3705868,-84.42220448,-152.6070547,1440.364998,108.4362722,148.2616335,1436.633269,-93.53881489,-150.0354952,1414.238242,101.9982518,155.0119247,1410.454683,-171.9199689,-141.475279,1101.030824,-200.2809046,-137.7724579,1140.003832,-188.4071545,-141.9266857,1118.23839,-257.2551482,61.21600478,1028.829319,-275.159933,45.92736085,1005.341676,-315.6284773,202.0582139,967.9793093,-52.50104814,-71.81994215,876.4518065,20.96696757,84.90548019,875.6242221
-15.36149079,10.08519081,961.3196821,42.31139411,-21.00631415,1488.504748,84.27716191,-39.89991935,1210.499473,-38.01593152,29.95299572,1436.526276,-117.2720194,-105.0181553,967.6175016,5.824087986,156.7085201,966.2551848,55.58015301,-85.13891518,963.8563976,100.7312349,10.86121672,963.3567061,-84.55212438,-152.5285763,1440.462446,108.69949,148.0852093,1436.531697,-93.67684919,-149.9549546,1414.338726,102.2588154,154.8340225,1410.353384,-171.837912,-141.5722121,1101.067426,-200.2993773,-137.8128757,1139.961658,-188.3678577,-142.0017458,1118.234481,-257.0644491,60.9360496,1028.143567,-275.0136771,45.53344213,1004.764555,-315.7722274,201.4670349,966.8970483,-52.61721722,-71.72878576,876.4490797,21.05033739,84.9030084,875.6337936
-15.35449017,10.10739336,961.3105595,42.38143726,-21.07171913,1488.495851,84.26010587,-40.01962333,1210.479915,-37.90430908,29.9710311,1436.535013,-117.4022794,-104.8754382,967.6219407,5.989942932,156.7118503,966.2765061,55.47167361,-85.19143632,963.8351138,100.731369,10.75756908,963.3416146,-84.67017741,-152.4499515,1440.556641,108.9608274,147.9170194,1436.433277,-93.8032557,-149.8740137,1414.436069,102.5170686,154.6647206,1410.255436,-171.7637086,-141.6281717,1101.098432,-200.2969169,-137.8132828,1139.934646,-188.323229,-142.0371517,1118.237463,-256.9736023,60.66014704,1027.485848,-274.9907716,45.1471004,1004.232455,-316.0215222,200.8899421,965.8770432,-52.72486076,-71.64633418,876.4475754,21.11990548,84.90204305,875.6423925
